# Number of reads:   207,358
# Number of matches: 3,465,198
# Alignment mode:  Classifier
# Classifications: Taxonomy SEED EGGNOG GTDB EC INTERPRO2GO
# Summary:
## @Creator	RMA2Info
## @CreationDate	Wed Feb 03 13:57:14 GMT 2021
## @ContentType	Summary4
## @Names	LF_weighted
## @BlastMode	Classifier
## @Uids	1612355091607
## @Sizes	207358.0
## @TotalReads	207358
## @AdditionalReads	0
## Classifications:
##  Taxonomy (1107 classes) SEED (414 classes) EGGNOG (1882 classes) GTDB (720 classes) EC (1385 classes) INTERPRO2GO (3835 classes)
## @Algorithm	Taxonomy	merge
## @Parameters	
## 
# Class to count for 'Taxonomy':
-	2647581	4.0
S	1590	1.0
C	28216	198.0
S	3641	2.0
G	1193515	4467.0
S	1193512	1.0
S	1596	12.0
S	1597	5.0
-	196159	9.0
S	1598	4.0
S	1599	4.0
S	1600	5.0
S	206403	24.0
S	1601	7.0
-	32321	2.0
G	1164882	1.0
S	441921	102.0
S	3656	26.0
G	114248	1.0
S	1125979	2.0
-	32331	4.0
S	1613	2.0
S	7757	2.0
G	48720	2.0
G	1930830	2.0
S	1620	1.0
-	32341	22.0
S	1622	1.0
S	1623	1.0
S	1624	2.0
S	3673	1.0
-	32346	2.0
-	212575	2.0
S	1566282	1.0
S	1631	833.0
-	32351	3.0
-	7776	4.0
F	28256	1.0
S	40545	2.0
S	83554	2.0
S	222816	2.0
-	32355	1.0
G	1637	14.0
S	2201156	1.0
-	325217	81.0
-	32358	2.0
S	1639	1.0
S	1525360	6.0
-	71275	186.0
-	71274	22.0
S	1652	4.0
-	171638	19.0
F	267889	1.0
G	1654	9.0
S	3702	1.0
-	171637	8.0
-	185979	2.0
S	310910	2.0
-	112252	4.0
S	56958	2.0
S	3711	1.0
S	3712	1.0
S	40576	2.0
S	2025114	44.0
S	2025113	45.0
G	1678	15195.0
S	1680	8.0
S	638617	2.0
S	1681	6.0
S	638619	13.0
-	136849	2.0
S	1684	2981.0
S	1685	2.0
S	1687	93.0
S	1689	2.0
O	204441	45.0
S	1691	106.0
S	1692	1.0
F	69277	64.0
S	1694	4.0
S	2705033	27.0
S	2705032	1.0
F	3745	16.0
S	2705034	23.0
S	1183409	1.0
S	104098	1.0
S	2705037	5.0
O	204455	6.0
G	3749	1.0
O	204457	2.0
S	3755	4.0
O	693921	2.0
-	2731653	8.0
S	376489	2.0
S	2705031	4.0
S	3760	1.0
S	394935	4.0
S	2666139	2.0
G	1716	46.0
G	3764	3.0
S	2713247	23.0
S	2713246	3.0
S	2004646	2.0
-	91835	138.0
-	452284	4.0
G	5820	2.0
S	390841	1.0
-	91836	4.0
S	2666134	2.0
S	3775	1.0
-	663243	2.0
S	483012	2.0
F	2008794	2.0
S	69319	5.0
S	235205	2.0
S	34504	21.0
S	2676448	6.0
S	2676449	12.0
S	712411	2.0
S	1747	16.0
S	102107	1.0
F	3803	8.0
-	2608891	2.0
S	2486011	5.0
C	1760	293.0
S	2576071	2.0
F	1762	4.0
G	1763	8.0
S	3816	5.0
G	3817	7.0
S	3818	5.0
-	91882	23.0
G	52972	1.0
S	265960	2.0
S	409322	2.0
S	3821	19.0
S	1550073	1.0
S	2676440	16.0
-	91888	10.0
S	3827	3.0
S	216816	18.0
S	2676443	5.0
S	2676445	9.0
-	2625236	814.0
S	2676439	10.0
S	487174	1.0
F	77572	7.0
S	3847	2.0
S	3848	10.0
-	716546	6.0
S	1720083	2.0
S	2565932	1.0
-	716545	4.0
-	32524	13.0
S	194326	2.0
S	157463	13.0
-	81684	10.0
S	7962	2.0
G	3869	2.0
S	3870	23.0
S	3871	1.0
S	28448	2.0
G	1827	2.0
S	1830	2.0
-	2608897	3603.0
S	3880	25.0
S	376620	2.0
S	2496267	2.0
-	2608905	2.0
G	1839	5.0
S	1797940	1.0
S	2705177	741.0
S	1681194	6.0
G	212791	4.0
G	1982251	2.0
G	1847	1.0
O	7991	2.0
G	3898	46.0
-	2615069	2.0
S	3900	16.0
F	36668	462.0
S	5949	43.0
G	1854	2.0
O	85823	2.0
-	2643817	2.0
G	46913	2.0
G	165696	2.0
-	655183	5.0
G	3913	7.0
S	3914	2.0
S	87883	1.0
S	214856	1.0
S	3917	3.0
S	51022	2.0
G	1873	2.0
G	1883	7.0
-	91994	1.0
S	106335	1.0
S	157538	1.0
S	1978231	2.0
S	28526	1.0
G	89966	2.0
S	178035	54.0
S	34674	13.0
S	2662234	2.0
-	272242	1.0
S	46969	4.0
G	323449	1.0
S	571254	2.0
S	237446	2.0
-	34695	41.0
S	872327	7.0
S	102285	2.0
P	6029	21.0
-	2615210	10.0
-	6032	22.0
-	163735	57.0
S	1658766	38.0
G	55193	9.0
-	163742	33.0
S	2047875	4.0
G	34717	5.0
S	34720	37.0
F	75682	6.0
-	147368	4.0
S	1218494	76.0
S	1218495	9.0
F	47021	4.0
S	1218492	1150.0
S	270250	2.0
-	34735	6472.0
S	1218493	100.0
S	1232801	1.0
S	94130	2.0
-	6072	61.0
F	81850	1499.0
F	81852	11.0
S	81857	2.0
S	743375	7.0
S	28612	66.0
S	1630173	2.0
S	4039	17.0
O	200644	12.0
S	561088	1.0
S	36809	2.0
S	1630162	2.0
G	1654741	6.0
S	1732567	2.0
S	157652	10.0
S	1218506	132.0
S	1218507	660.0
-	227290	51.0
S	874455	9.0
S	2015173	27.0
S	1775559	3.0
S	1218508	9990.0
-	227292	4.0
-	911341	48.0
C	155619	2.0
G	28641	622.0
S	104421	32.0
O	4069	2.0
S	4072	2.0
-	104431	10.0
G	1902578	2.0
S	4081	10.0
G	4085	4.0
S	157688	1.0
S	1808352	2.0
G	53246	5.0
S	151549	291.0
S	366586	2.0
-	10239	45.0
